"Number","Word","Transliteration","Grammar","Russian","Example"
1,爱,ài,гл.,любить,"妈妈,我~你。"
,,гл.,любить делать что-либо,我~吃米饭。,
2,八,bā,числ.,восемь,他儿子今年~岁了。
3,爸爸,bàba,сущ.,отец,我~是医生。
4,杯子,bēizi,сущ.,"стакан, чашка",~里有茶。
5,北京,Běijīng,сущ.,Пекин,我住在~。
6,本,běn,сч. сл.,применяется при счете книг,桌子上有一~书。
"",,сущ.,тетрадь,请大家把作业~儿拿出来。,
7,不客气,bú kèqi,,Не стоит.,甲:谢谢你!乙:~。
8,不,bù,нар.,"не, нет",我~是学生。
9,菜,cài,сущ.,овощи,我去超市买点儿~。
"",,сущ.,готовое блюдо,今天我做了三个~。,
10,茶,chá,сущ.,чай,请喝杯~吧。
11,吃,chī,гл.,"кушать, есть",请~点儿米饭。
12,出租车,chūzūchē,сущ.,такси,我们坐~去火车站。
13,打电话,dǎdiànhuà,,звонить или говорить по телефону,他在~呢。
14,大,dà,прил.,"большой, крупный",这个苹果很~。
15,的,de,служ.,присоединяет определение,这是我~书。
"",,служ.,употребляется для усиления,我是坐飞机来中国~。,
"",,,придает значение существительного,"家里没吃~了,我们去买点儿吧。",
16,点,diǎn,сущ.,(который) час,现在是下午 3~20。
"",,гл.,заказывать (блюдо в ресторане),"先生,请问您什么时候开始~菜?",
"",,гл.,зажигать,你把火~着吧。,
17,电脑,diànnǎo,сущ.,компьютер,我买了个~。
18,电视,diànshì,сущ.,телевизор,妈妈在看~。
19,电影,diànyǐng,сущ.,кинофильм,我喜欢看~。
20,东西,dōngxi,сущ.,"вещь, предмет",我在商店买了很多~。
21,都,dōu,нар.,все,我们~来了。
"",,нар.,употребляется для усиления,我~快吃完了。,
"",,нар.,уже,"现在~三点了,我们快迟到了。",
22,读,dú,гл.,"читать, читать вслух","你会~这个汉字吗?
你喜欢~书吗?"
23,对不起,duìbuqǐ,,извините,甲:~。乙:没关系。
24,多,duō,прил.,много,这里的人很~。
нар.,"употребляется в вопросах о количестве или
степени",你儿子~大了?,,,
"",,,нар.,"ставится перед прилагательным для
обозначения восклицания",他跑得~快啊!
25,多少,duōshao,мест.,сколько,你们学校有~学生?
26,儿子,érzi,сущ.,сын,我~三岁了。
27,二,èr,числ.,два,现在十~点了。
28,饭店,fàndiàn,сущ.,"ресторан, гостиница",中午我们去~吃吧。
29,飞机,fēijī,сущ.,самолет,我坐~去北京。
30,分钟,fēnzhōng,сущ.,минута,我想休息几~。
31,高兴,gāoxìng,прил.,"веселый, радостный, счастливый",今天我很~。
32,个,gè,сч. сл.,счетное слово общего назначения,我是一~学生。
33,工作,gōngzuò,сущ.,работа,我很喜欢现在的~。
"",,,гл.,работать,我在医院~。
34,汉语,Hànyǔ,сущ.,китайский язык,他在学习~。
35,好,hǎo,прил.,хороший,今天天气很~。
"",,,,выражение согласия,"你听我说,~吗?"
"",,,нар.,очень,你的衣服~漂亮啊!
36,号,hào,сущ.,число (месяца),今天是 2002 年 1 月 1~。
"",,,сч. сл,порядковый номер,你的房间~是多少?
37,喝,hē,гл.,пить,我想~水。
38,和,hé,союз,и,爸爸~妈妈都在家。
пред..,вместе с,他~王先生说话呢。,,,
39,很,hěn,нар.,очень,李小姐~漂亮。
40,后面,hòumiàn,сущ.,"сзади, позади, за (чем-либо)",商店在学校~。
"",,сущ.,позже,"关于这个问题,~我还会详细说。",
41,回,huí,гл.,вернуться,我八点~家。
"",,сч. сл.,(количество) раз,我去过一~北京。,
42,会,huì,всп. гл.,уметь,我~开车。
"",,гл.,"ставится после глагола, обозначает
имеющийся результат",我学~了汉语。,
"",,всп. гл.,возможность,明天是不~下雨的。,
"",,сущ.,"собрание, совещание",我们在开~。,
43,几,jǐ,мест.,сколько,你有~个儿子?
"",,мест.,обозначает неопределенное количество,我家里来了~个人。,
44,家,jiā,сущ.,семья,我~在北京。
"",,сч. сл.,употребляется при счете семей или компаний,我哥哥开了一~公司。,
45,叫,jiào,гл.,звать (именем),我的名字~李明。
46,今天,jīntiān,сущ.,сегодня,我~去北京。
"",,сущ.,в настоящее время,"在~,过去的东西我们都不太理解了。",
47,九,jiǔ,числ.,девять,今天是八月~日。
48,开,kāi,гл.,водить (автомобиль),我~了三年出租车了。
гл.,"образовывать, создавать",我爸爸~了一个小公司。,,,
гл.,открывать,"请~门,让我进去。",,,
"",,,гл.,провести (мероприятие),我们学校在每年夏天~运动会。
49,看,kàn,гл.,"смотреть, глядеть","你~,那本书在桌子上呢。"
"",,гл.,читать,我在~书呢。,
50,看见,kànjiàn,гл.,увидеть,我没~他。
51,块,kuài,сч. сл.,юань (китайская валюта),这本书三十~钱。
"",,сч. сл.,кусок,来吃~西瓜吧。,
"",,сч. сл.,вместе,我跟朋友在一~儿呢。,
52,来,lái,гл.,"прийти, приехать",他是昨天~这儿的。
"",,гл.,просить,"再~点儿水果,怎么样?",
53,老师,lǎoshī,сущ.,"учитель, преподаватель",他就是我们的汉语~。
54,了,le,служ.,"употребляется в конце предложения для
обозначения происшедших изменений",昨天下雨~。
"",,служ.,"употребляется после глагола для обозначения
завершения действия",我吃~饭就去你那里。,
55,冷,lěng,прил.,холодный,今天太~了。
56,里,lǐ,сущ.,внутри,我们都在学校~。
57,零,líng,числ.,ноль,今年是二~一二年。
58,六,liù,числ.,шесть,桌子上有~个杯子。
59,妈妈,māma,сущ.,мать,我~不在家。
60,吗,ma,служ.,"вопросительная частица, ставится в конце
предложения",你是中国人~?
61,买,mǎi,гл.,покупать,我~了一些苹果。
